Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_11_33.csv,0.75,0.75π,0.9107,40000.0,100,100,0.9994141822443449
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_04_08.csv,0.25,0.25π,0.9107,15000.0,100,100,0.9985562653928595
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_01_34.csv,0.25,0.25π,0.9107,40000.0,100,100,0.9994295689472521
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_17_16.csv,1.0,1.00π,0.9107,30000.0,100,100,0.9986036609025933
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_13_59.csv,0.75,0.75π,0.9107,15000.0,100,100,0.9985706054956908
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_16_58_41.csv,0.0,0.00π,0.9107,15000.0,100,100,0.997524183329699
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_16_56_51.csv,0.0,0.00π,0.9107,30000.0,100,100,0.9985700533924363
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_22_29.csv,1.25,1.25π,0.9107,25000.0,100,100,0.9991331740117727
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_10_38.csv,0.5,0.50π,0.9107,1000.0,100,100,0.9890174493889111
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_14_27.csv,0.75,0.75π,0.9107,10000.0,100,100,0.9978395154428565
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_09_41.csv,0.5,0.50π,0.9107,10000.0,100,100,0.9989054946340381
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_22_58.csv,1.25,1.25π,0.9107,20000.0,100,100,0.9988998717514898
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_00_32.csv,0.0,0.00π,0.9107,1000.0,100,100,0.9678861287142024
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_03_38.csv,0.25,0.25π,0.9107,20000.0,100,100,0.9989058595860979
