Alpha_Coeff,States,ε
0.5,10000.0,0.0008128701488985163
0.5,25000.0,0.0003196216856899268
1.0,20000.0,0.001029079882405126
0.75,5000.0,0.0030488420794301326
1.25,10000.0,0.0014464150521050817
0.25,35000.0,0.00041791609892795757
0.0,35000.0,0.0005835227226274902
0.25,50000.0,0.00030133745300647954
0.0,10000.0,0.0020855525146960714
0.25,15000.0,0.0010054687801493729
0.25,40000.0,0.00037522346395930917
0.5,35000.0,0.00023408544028076397
0.5,15000.0,0.00053998057264932
0.0,25000.0,0.0008193111221128076
0.0,20000.0,0.0010129158203589094
1.25,45000.0,0.00032993629451054694
0.75,15000.0,0.0009990384213340669
0.25,5000.0,0.002910728679646431
0.75,35000.0,0.0004277624526916993
0.0,45000.0,0.0004416538424608372
0.5,20000.0,0.00040818403598541633
0.75,20000.0,0.0007772670550565307
1.25,15000.0,0.0010223898250884696
0.25,45000.0,0.0003307578863629171
0.5,45000.0,0.00018287917827512225
0.25,1000.0,0.014873772436761504
1.0,35000.0,0.0005843244037803114
0.25,10000.0,0.001501331443996018
0.0,15000.0,0.0012999542914618222
0.0,5000.0,0.0039616051683313966
0.5,50000.0,0.0001609793761648013
1.0,40000.0,0.0005269117701712898
0.25,20000.0,0.0007158745660932122
0.75,40000.0,0.00037811102356707536
0.5,40000.0,0.00020159872560186214
0.5,30000.0,0.0002723039680499579
0.25,25000.0,0.0006020725354623571
1.25,35000.0,0.0004285620656100736
1.0,1000.0,0.02055994164001592
0.75,50000.0,0.00029877734162050523
0.75,1000.0,0.014722242014439831
0.75,30000.0,0.0005015711094750907
0.0,30000.0,0.0006777949332441211
1.25,5000.0,0.002912814253905207
1.25,50000.0,0.00029582104929738045
1.0,5000.0,0.004073683576302661
0.5,1000.0,0.008467990245280424
0.75,45000.0,0.0003316318193853095
0.0,40000.0,0.0005050764096664338
1.0,30000.0,0.0006963547020015134
0.75,25000.0,0.0006067464458569507
1.25,40000.0,0.00037074495861530237
0.25,30000.0,0.0004979286229326057
1.0,10000.0,0.001994062323138311
1.0,45000.0,0.00042817013845567495
1.0,50000.0,0.0004104639412796431
0.5,5000.0,0.001644096210942089
1.25,1000.0,0.014653471921190457
0.0,1000.0,0.020280531118325663
1.0,15000.0,0.0013816520026137147
0.75,10000.0,0.0015090381987333658
1.0,25000.0,0.0008288445857616458
0.0,50000.0,0.00041187413645453746
1.25,25000.0,0.0006047048153308499
1.25,20000.0,0.0007572373519135935
1.25,30000.0,0.0005008803829397151
