Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score,RMSE,ε
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_11_33.csv,0.75,0.75π,0.9107,40000.0,100,100,0.9994141822443449,0.0045730062897487034,0.000585817755655138
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_04_08.csv,0.25,0.25π,0.9107,15000.0,100,100,0.9985562653928595,0.007179004355649075,0.0014437346071405344
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_01_34.csv,0.25,0.25π,0.9107,40000.0,100,100,0.9994295689472521,0.004512550893930219,0.0005704310527478995
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_17_16.csv,1.0,1.00π,0.9107,30000.0,100,100,0.9986036609025933,0.004745705181893244,0.0013963390974066625
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_13_59.csv,0.75,0.75π,0.9107,15000.0,100,100,0.9985706054956908,0.0071432621308266395,0.0014293945043092338
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_16_58_41.csv,0.0,0.00π,0.9107,15000.0,100,100,0.997524183329699,0.006319235596049753,0.0024758166703009454
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_16_56_51.csv,0.0,0.00π,0.9107,30000.0,100,100,0.9985700533924363,0.004802476148916292,0.0014299466075636813
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_22_29.csv,1.25,1.25π,0.9107,25000.0,100,100,0.9991331740117727,0.005562710967846077,0.0008668259882272933
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_10_38.csv,0.5,0.50π,0.9107,1000.0,100,100,0.9890174493889111,0.027527387274115103,0.010982550611088882
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_14_27.csv,0.75,0.75π,0.9107,10000.0,100,100,0.9978395154428565,0.00878205427024498,0.0021604845571434605
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_09_41.csv,0.5,0.50π,0.9107,10000.0,100,100,0.9989054946340381,0.008690051170417159,0.0010945053659618953
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_22_58.csv,1.25,1.25π,0.9107,20000.0,100,100,0.9988998717514898,0.006266747429941993,0.001100128248510246
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_00_32.csv,0.0,0.00π,0.9107,1000.0,100,100,0.9678861287142024,0.02275891935666824,0.03211387128579757
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_03_38.csv,0.25,0.25π,0.9107,20000.0,100,100,0.9989058595860979,0.006249669672713332,0.0010941404139021005
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_04_38.csv,0.25,0.25π,0.9107,10000.0,100,100,0.9979179336668909,0.008621201865804503,0.002082066333109145
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_20_31.csv,1.25,1.25π,0.9107,45000.0,100,100,0.9994742123763201,0.004332371727114472,0.0005257876236799408
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_13_30.csv,0.75,0.75π,0.9107,20000.0,100,100,0.9989074185693516,0.006245215672417263,0.0010925814306483872
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_17_46.csv,1.0,1.00π,0.9107,25000.0,100,100,0.9983844595175764,0.00510462952778016,0.0016155404824236275
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_03_07.csv,0.25,0.25π,0.9107,25000.0,100,100,0.9991236636932539,0.00559314316454033,0.0008763363067461061
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_00_01.csv,0.0,0.00π,0.9107,5000.0,100,100,0.9932897863766821,0.010403356450186214,0.006710213623317918
