Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score
alpha_0.50pi_Pt_0.9107_20x20_mesh_1.5E+04_states_SIM_02_05_2026_16_50_21.csv,0.5,0.50π,0.9107,15000.0,20,20,0.9992856840383882
alpha_1.25pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_16_50_42.csv,1.25,1.25π,0.9107,1000.0,20,20,0.9796885514494579
alpha_0.00pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_16_50_06.csv,0.0,0.00π,0.9107,35000.0,20,20,0.9987209694959904
alpha_1.00pi_Pt_0.9107_20x20_mesh_1.5E+04_states_SIM_02_05_2026_16_50_34.csv,1.0,1.00π,0.9107,15000.0,20,20,0.9980136867351489
alpha_1.00pi_Pt_0.9107_20x20_mesh_4.0E+04_states_SIM_02_05_2026_17_04_28.csv,1.0,1.00π,0.9107,40000.0,20,20,0.9988418426607933
alpha_1.00pi_Pt_0.9107_20x20_mesh_1.5E+04_states_SIM_02_05_2026_17_06_24.csv,1.0,1.00π,0.9107,15000.0,20,20,0.9974493920566417
alpha_0.50pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_16_50_23.csv,0.5,0.50π,0.9107,1000.0,20,20,0.9906089099251627
alpha_0.0pi_Pt_0.9107_20x20_mesh_1.5E+04_states_SIM_02_05_2026_09_05_54.csv,0.0,0.00π,0.9107,15000.0,20,20,0.9262992174657165
alpha_0.25pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_16_50_14.csv,0.25,0.25π,0.9107,20000.0,20,20,0.9989871023607357
alpha_1.00pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_16_50_33.csv,1.0,1.00π,0.9107,20000.0,20,20,0.9981085787283064
alpha_0.75pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_16_50_26.csv,0.75,0.75π,0.9107,20000.0,20,20,0.998986160381871
alpha_1.00pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_17_06_57.csv,1.0,1.00π,0.9107,1000.0,20,20,0.9701079741960793
alpha_0.50pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_16_58_15.csv,0.5,0.50π,0.9107,20000.0,20,20,0.9995376609636857
alpha_1.25pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_16_50_38.csv,1.25,1.25π,0.9107,35000.0,20,20,0.9993922874352624
