Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_19_39.csv,1.0,1.00π,0.9107,5000.0,100,100,0.9934618487798578
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_21_01.csv,1.25,1.25π,0.9107,40000.0,100,100,0.43009867228896304
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_12_32.csv,0.75,0.75π,0.9107,30000.0,100,100,0.43024076173132
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_16_54_58.csv,0.0,0.00π,0.9107,45000.0,100,100,0.9989375700644215
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_22_29.csv,1.25,1.25π,0.9107,25000.0,100,100,0.4304052872439913
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_02_06.csv,0.25,0.25π,0.9107,35000.0,100,100,0.4299890476899988
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_16_57_59.csv,0.0,0.00π,0.9107,20000.0,100,100,0.998050879768913
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_01_34.csv,0.25,0.25π,0.9107,40000.0,100,100,0.429714706330075
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_22_58.csv,1.25,1.25π,0.9107,20000.0,100,100,0.42980605967266994
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_15_48.csv,1.0,1.00π,0.9107,45000.0,100,100,0.9989700732350838
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_18_14.csv,1.0,1.00π,0.9107,20000.0,100,100,0.9980471105789329
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_15_23.csv,0.75,0.75π,0.9107,1000.0,100,100,0.4204732784092188
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_16_59_22.csv,0.0,0.00π,0.9107,10000.0,100,100,0.9964524202046876
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_16_47.csv,1.0,1.00π,0.9107,35000.0,100,100,0.9987618694735606
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_05_08.csv,0.25,0.25π,0.9107,5000.0,100,100,0.4275866410789667
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_13_59.csv,0.75,0.75π,0.9107,15000.0,100,100,0.43005122835608545
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_03_07.csv,0.25,0.25π,0.9107,25000.0,100,100,0.429527587596363
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_08_10.csv,0.5,0.50π,0.9107,25000.0,100,100,-6.269337495221777
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_20_31.csv,1.25,1.25π,0.9107,45000.0,100,100,0.42993299907583427
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_03_38.csv,0.25,0.25π,0.9107,20000.0,100,100,0.42946636010478245
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_10_38.csv,0.5,0.50π,0.9107,1000.0,100,100,-6.296847115675748
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_12_02.csv,0.75,0.75π,0.9107,35000.0,100,100,0.43011601481123996
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_14_27.csv,0.75,0.75π,0.9107,10000.0,100,100,0.42921516398325354
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_11_03.csv,0.75,0.75π,0.9107,45000.0,100,100,0.43033532083221915
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_01_00.csv,0.25,0.25π,0.9107,45000.0,100,100,0.4298429432825528
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_07_39.csv,0.5,0.50π,0.9107,30000.0,100,100,-6.269422153943905
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_16_18.csv,1.0,1.00π,0.9107,40000.0,100,100,0.9988635697361453
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_05_38.csv,0.25,0.25π,0.9107,1000.0,100,100,0.42319614892079693
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_16_58_41.csv,0.0,0.00π,0.9107,15000.0,100,100,0.997524183329699
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_08_40.csv,0.5,0.50π,0.9107,20000.0,100,100,-6.268532296819757
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_04_38.csv,0.25,0.25π,0.9107,10000.0,100,100,0.4291890507709659
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_13_30.csv,0.75,0.75π,0.9107,20000.0,100,100,0.4298832798852592
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_23_55.csv,1.25,1.25π,0.9107,10000.0,100,100,0.42938943727695866
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_14_55.csv,0.75,0.75π,0.9107,5000.0,100,100,0.42796230775780564
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_22_00.csv,1.25,1.25π,0.9107,30000.0,100,100,0.4297781402874481
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_17_46.csv,1.0,1.00π,0.9107,25000.0,100,100,0.9983844595175764
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_20_06.csv,1.0,1.00π,0.9107,1000.0,100,100,0.9672951518231278
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_16_56_51.csv,0.0,0.00π,0.9107,30000.0,100,100,0.9985700533924363
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_06_36.csv,0.5,0.50π,0.9107,40000.0,100,100,-6.27121842518245
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_18_42.csv,1.0,1.00π,0.9107,15000.0,100,100,0.9975345319147066
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_09_41.csv,0.5,0.50π,0.9107,10000.0,100,100,-6.270254549800898
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_06_04.csv,0.5,0.50π,0.9107,45000.0,100,100,-6.270547266258319
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_24_51.csv,1.25,1.25π,0.9107,1000.0,100,100,0.4169324957708085
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_16_55_34.csv,0.0,0.00π,0.9107,40000.0,100,100,0.9988754080895808
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_17_16.csv,1.0,1.00π,0.9107,30000.0,100,100,0.9986036609025933
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_13_01.csv,0.75,0.75π,0.9107,25000.0,100,100,0.4298715830076645
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_04_08.csv,0.25,0.25π,0.9107,15000.0,100,100,0.42926203296246945
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_19_11.csv,1.0,1.00π,0.9107,10000.0,100,100,0.9965086841890242
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_10_10.csv,0.5,0.50π,0.9107,5000.0,100,100,-6.281805631241565
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_11_33.csv,0.75,0.75π,0.9107,40000.0,100,100,0.42974485017993314
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_00_01.csv,0.0,0.00π,0.9107,5000.0,100,100,0.9932897863766821
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_23_27.csv,1.25,1.25π,0.9107,15000.0,100,100,0.429155531753569
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_16_57_25.csv,0.0,0.00π,0.9107,25000.0,100,100,0.9983896663617252
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_24_23.csv,1.25,1.25π,0.9107,5000.0,100,100,0.4283737471404975
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_09_11.csv,0.5,0.50π,0.9107,15000.0,100,100,-6.265183968357576
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_16_56_16.csv,0.0,0.00π,0.9107,35000.0,100,100,0.9987724015579386
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_00_32.csv,0.0,0.00π,0.9107,1000.0,100,100,0.9678861287142024
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_02_37.csv,0.25,0.25π,0.9107,30000.0,100,100,0.42933430426820074
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_07_07.csv,0.5,0.50π,0.9107,35000.0,100,100,-6.270611936327459
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_21_30.csv,1.25,1.25π,0.9107,35000.0,100,100,0.4298756753094236
