Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score
gpu_alpha_0.25pi_Pt_0.9107_20x20_mesh_3.0E+04_states_SIM_02_05_2026_22_10_34.csv,0.25,0.25π,0.9107,30000.0,20,20,0.9993301348326258
gpu_alpha_0.00pi_Pt_0.9107_20x20_mesh_5.0E+03_states_SIM_02_05_2026_22_10_28.csv,0.0,0.00π,0.9107,5000.0,20,20,0.9941541975910171
gpu_alpha_1.00pi_Pt_0.9107_20x20_mesh_4.0E+04_states_SIM_02_05_2026_22_11_05.csv,1.0,1.00π,0.9107,40000.0,20,20,0.9988736779006977
gpu_alpha_0.50pi_Pt_0.9107_20x20_mesh_4.5E+04_states_SIM_02_05_2026_22_10_41.csv,0.5,0.50π,0.9107,45000.0,20,20,0.999769232281898
gpu_alpha_0.25pi_Pt_0.9107_20x20_mesh_4.5E+04_states_SIM_02_05_2026_22_10_30.csv,0.25,0.25π,0.9107,45000.0,20,20,0.9995116929340503
gpu_alpha_0.00pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_22_10_29.csv,0.0,0.00π,0.9107,1000.0,20,20,0.9669895754925544
gpu_alpha_0.50pi_Pt_0.9107_20x20_mesh_2.0E+04_states_SIM_02_05_2026_22_10_47.csv,0.5,0.50π,0.9107,20000.0,20,20,0.9993857519714457
gpu_alpha_0.50pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_22_10_44.csv,0.5,0.50π,0.9107,35000.0,20,20,0.9996798229731617
gpu_alpha_0.25pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_22_10_40.csv,0.25,0.25π,0.9107,1000.0,20,20,0.9788864521990217
gpu_alpha_1.25pi_Pt_0.9107_20x20_mesh_2.5E+04_states_SIM_02_05_2026_22_11_19.csv,1.25,1.25π,0.9107,25000.0,20,20,0.9992161127159127
gpu_alpha_0.25pi_Pt_0.9107_20x20_mesh_1.5E+04_states_SIM_02_05_2026_22_10_37.csv,0.25,0.25π,0.9107,15000.0,20,20,0.998534884968935
gpu_alpha_0.75pi_Pt_0.9107_20x20_mesh_4.5E+04_states_SIM_02_05_2026_22_10_53.csv,0.75,0.75π,0.9107,45000.0,20,20,0.9994976753177888
gpu_alpha_1.00pi_Pt_0.9107_20x20_mesh_5.0E+03_states_SIM_02_05_2026_22_11_13.csv,1.0,1.00π,0.9107,5000.0,20,20,0.9943085342829945
gpu_alpha_0.50pi_Pt_0.9107_20x20_mesh_1.0E+03_states_SIM_02_05_2026_22_10_52.csv,0.5,0.50π,0.9107,1000.0,20,20,0.9898365404783315
gpu_alpha_0.75pi_Pt_0.9107_20x20_mesh_3.5E+04_states_SIM_02_05_2026_22_10_55.csv,0.75,0.75π,0.9107,35000.0,20,20,0.9993823729961805
gpu_alpha_0.50pi_Pt_0.9107_20x20_mesh_1.0E+04_states_SIM_02_05_2026_22_10_49.csv,0.5,0.50π,0.9107,10000.0,20,20,0.998975176503731
