Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score,RMSE,ε
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_11_33.csv,0.75,0.75π,0.9107,40000.0,100,100,0.9994896040738763,0.004273589090529191,0.0005103959261237229
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_04_08.csv,0.25,0.25π,0.9107,15000.0,100,100,0.9986373978953476,0.00698270492613643,0.0013626021046523912
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_01_34.csv,0.25,0.25π,0.9107,40000.0,100,100,0.9995021259671379,0.0042208401037904806,0.0004978740328620896
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_17_16.csv,1.0,1.00π,0.9107,30000.0,100,100,0.998935943211166,0.004153906995707468,0.001064056788834062
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_13_59.csv,0.75,0.75π,0.9107,15000.0,100,100,0.9986518780240612,0.00694550385206523,0.0013481219759388006
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_16_58_41.csv,0.0,0.00π,0.9107,15000.0,100,100,0.9979041125295831,0.0058298629566038394,0.0020958874704169006
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_16_56_51.csv,0.0,0.00π,0.9107,30000.0,100,100,0.9989254906023249,0.004174259788670684,0.001074509397675112
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_22_29.csv,1.25,1.25π,0.9107,25000.0,100,100,0.9991972967620737,0.005359406144134434,0.0008027032379263227
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_10_38.csv,0.5,0.50π,0.9107,1000.0,100,100,0.9890476804286831,0.02750681407726212,0.010952319571316921
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_14_27.csv,0.75,0.75π,0.9107,10000.0,100,100,0.9979218159524559,0.008623452306805198,0.002078184047544165
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_09_41.csv,0.5,0.50π,0.9107,10000.0,100,100,0.9989197140697375,0.008638863228317925,0.001080285930262598
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_22_58.csv,1.25,1.25π,0.9107,20000.0,100,100,0.9989703793532433,0.0060698475540978325,0.0010296206467566734
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_00_32.csv,0.0,0.00π,0.9107,1000.0,100,100,0.9683745324622146,0.02264606984851467,0.03162546753778543
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_03_38.csv,0.25,0.25π,0.9107,20000.0,100,100,0.9989757636785472,0.006053955840466787,0.001024236321452771
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_04_38.csv,0.25,0.25π,0.9107,10000.0,100,100,0.9979943733622156,0.008471575914229557,0.0020056266377843435
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_20_31.csv,1.25,1.25π,0.9107,45000.0,100,100,0.9995461652332017,0.00402984223070664,0.0004538347667982875
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_13_30.csv,0.75,0.75π,0.9107,20000.0,100,100,0.9989815290313159,0.006036893153882789,0.0010184709686841035
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_17_46.csv,1.0,1.00π,0.9107,25000.0,100,100,0.9987326143904747,0.004533449173104532,0.0012673856095253217
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_03_07.csv,0.25,0.25π,0.9107,25000.0,100,100,0.999202650985677,0.005341501974087773,0.000797349014323048
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_00_01.csv,0.0,0.00π,0.9107,5000.0,100,100,0.9937315920838973,0.010082146189882343,0.006268407916102751
