Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score
alpha_0.50pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_22_48_24.csv,0.5,0.50π,1.0,10000.0,100,100,0.9991871298511015
alpha_0.50pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_22_46_50.csv,0.5,0.50π,1.0,25000.0,100,100,0.9996803783143101
alpha_1.00pi_Pt_1.0000_100x100_mesh_2.0E+04_states_SIM_02_05_2026_22_57_41.csv,1.0,1.00π,1.0,20000.0,100,100,0.9989709201175949
alpha_0.75pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_22_54_05.csv,0.75,0.75π,1.0,5000.0,100,100,0.9969511579205699
alpha_1.25pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_23_03_52.csv,1.25,1.25π,1.0,10000.0,100,100,0.9985535849478949
alpha_0.25pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_22_40_37.csv,0.25,0.25π,1.0,35000.0,100,100,0.9995820839010721
alpha_0.00pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_22_35_27.csv,0.0,0.00π,1.0,35000.0,100,100,0.9994164772773725
alpha_0.00pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_22_38_05.csv,0.0,0.00π,1.0,10000.0,100,100,0.9979144474853039
alpha_0.25pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_22_42_43.csv,0.25,0.25π,1.0,15000.0,100,100,0.9989945312198506
alpha_0.25pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_40_04.csv,0.25,0.25π,1.0,40000.0,100,100,0.9996247765360406
alpha_0.50pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_22_45_46.csv,0.5,0.50π,1.0,35000.0,100,100,0.9997659145597192
alpha_0.50pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_22_47_53.csv,0.5,0.50π,1.0,15000.0,100,100,0.9994600194273506
alpha_0.00pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_22_36_31.csv,0.0,0.00π,1.0,25000.0,100,100,0.9991806888778872
alpha_0.00pi_Pt_1.0000_100x100_mesh_2.0E+04_states_SIM_02_05_2026_22_37_02.csv,0.0,0.00π,1.0,20000.0,100,100,0.9989870841796411
alpha_1.25pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_23_00_10.csv,1.25,1.25π,1.0,45000.0,100,100,0.9996700637054895
alpha_0.75pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_22_53_03.csv,0.75,0.75π,1.0,15000.0,100,100,0.9990009615786659
alpha_0.25pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_22_43_45.csv,0.25,0.25π,1.0,5000.0,100,100,0.9970892713203535
alpha_0.75pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_22_50_56.csv,0.75,0.75π,1.0,35000.0,100,100,0.9995722375473083
alpha_0.00pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_22_34_23.csv,0.0,0.00π,1.0,45000.0,100,100,0.9995583461575391
alpha_0.50pi_Pt_1.0000_100x100_mesh_2.0E+04_states_SIM_02_05_2026_22_47_22.csv,0.5,0.50π,1.0,20000.0,100,100,0.9995918159640146
alpha_0.75pi_Pt_1.0000_100x100_mesh_2.0E+04_states_SIM_02_05_2026_22_52_32.csv,0.75,0.75π,1.0,20000.0,100,100,0.9992227329449435
alpha_1.25pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_23_03_21.csv,1.25,1.25π,1.0,15000.0,100,100,0.9989776101749115
alpha_0.25pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_22_39_32.csv,0.25,0.25π,1.0,45000.0,100,100,0.9996692421136371
alpha_0.50pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_22_44_42.csv,0.5,0.50π,1.0,45000.0,100,100,0.9998171208217249
alpha_0.25pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_44_15.csv,0.25,0.25π,1.0,1000.0,100,100,0.9851262275632385
alpha_1.00pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_22_56_06.csv,1.0,1.00π,1.0,35000.0,100,100,0.9994156755962197
alpha_0.25pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_22_43_15.csv,0.25,0.25π,1.0,10000.0,100,100,0.998498668556004
alpha_0.00pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_22_37_34.csv,0.0,0.00π,1.0,15000.0,100,100,0.9987000457085382
alpha_0.00pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_22_38_35.csv,0.0,0.00π,1.0,5000.0,100,100,0.9960383948316686
alpha_1.00pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_55_34.csv,1.0,1.00π,1.0,40000.0,100,100,0.9994730882298287
alpha_0.25pi_Pt_1.0000_100x100_mesh_2.0E+04_states_SIM_02_05_2026_22_42_12.csv,0.25,0.25π,1.0,20000.0,100,100,0.9992841254339068
alpha_0.75pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_50_24.csv,0.75,0.75π,1.0,40000.0,100,100,0.9996218889764329
alpha_0.50pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_45_14.csv,0.5,0.50π,1.0,40000.0,100,100,0.9997984012743981
alpha_0.50pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_46_18.csv,0.5,0.50π,1.0,30000.0,100,100,0.99972769603195
alpha_0.25pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_22_41_41.csv,0.25,0.25π,1.0,25000.0,100,100,0.9993979274645376
alpha_1.25pi_Pt_1.0000_100x100_mesh_3.5E+04_states_SIM_02_05_2026_23_01_15.csv,1.25,1.25π,1.0,35000.0,100,100,0.99957143793439
alpha_1.00pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_59_44.csv,1.0,1.00π,1.0,1000.0,100,100,0.979440058359984
alpha_0.75pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_54_35.csv,0.75,0.75π,1.0,1000.0,100,100,0.9852777579855602
alpha_0.75pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_51_29.csv,0.75,0.75π,1.0,30000.0,100,100,0.9994984288905249
alpha_0.00pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_35_59.csv,0.0,0.00π,1.0,30000.0,100,100,0.9993222050667558
alpha_1.25pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_23_04_23.csv,1.25,1.25π,1.0,5000.0,100,100,0.9970871857460948
alpha_1.00pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_22_59_14.csv,1.0,1.00π,1.0,5000.0,100,100,0.9959263164236973
alpha_0.50pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_49_25.csv,0.5,0.50π,1.0,1000.0,100,100,0.9915320097547196
alpha_0.75pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_22_49_52.csv,0.75,0.75π,1.0,45000.0,100,100,0.9996683681806147
alpha_0.00pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_34_55.csv,0.0,0.00π,1.0,40000.0,100,100,0.9994949235903335
alpha_1.00pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_56_38.csv,1.0,1.00π,1.0,30000.0,100,100,0.9993036452979985
alpha_0.75pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_22_52_01.csv,0.75,0.75π,1.0,25000.0,100,100,0.9993932535541431
alpha_1.25pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_23_00_43.csv,1.25,1.25π,1.0,40000.0,100,100,0.9996292550413847
alpha_0.25pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_41_09.csv,0.25,0.25π,1.0,30000.0,100,100,0.9995020713770674
alpha_1.00pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_22_58_43.csv,1.0,1.00π,1.0,10000.0,100,100,0.9980059376768617
alpha_1.00pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_22_55_02.csv,1.0,1.00π,1.0,45000.0,100,100,0.9995718298615444
alpha_0.50pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_22_48_55.csv,0.5,0.50π,1.0,5000.0,100,100,0.9983559037890579
alpha_1.25pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_23_04_53.csv,1.25,1.25π,1.0,1000.0,100,100,0.9853465280788095
alpha_0.00pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_39_06.csv,0.0,0.00π,1.0,1000.0,100,100,0.9797194688816744
alpha_1.00pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_22_58_12.csv,1.0,1.00π,1.0,15000.0,100,100,0.9986183479973862
alpha_0.75pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_22_53_34.csv,0.75,0.75π,1.0,10000.0,100,100,0.9984909618012666
