Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score
alpha_0.00pi_Pt_1.0000_20x20_mesh_1.0E+03_states_SIM_02_05_2026_22_29_34.csv,0.0,0.00π,1.0,1000.0,20,20,0.9816521205720157
alpha_0.25pi_Pt_1.0000_20x20_mesh_5.0E+03_states_SIM_02_05_2026_22_29_45.csv,0.25,0.25π,1.0,5000.0,20,20,0.99680733542271
alpha_0.00pi_Pt_1.0000_20x20_mesh_2.5E+04_states_SIM_02_05_2026_22_29_28.csv,0.0,0.00π,1.0,25000.0,20,20,0.9990557791957353
alpha_0.25pi_Pt_1.0000_20x20_mesh_1.0E+04_states_SIM_02_05_2026_22_29_44.csv,0.25,0.25π,1.0,10000.0,20,20,0.99855547189215
alpha_0.50pi_Pt_1.0000_20x20_mesh_1.0E+04_states_SIM_02_05_2026_22_29_56.csv,0.5,0.50π,1.0,10000.0,20,20,0.9992938927871859
alpha_0.00pi_Pt_1.0000_20x20_mesh_3.5E+04_states_SIM_02_05_2026_22_29_26.csv,0.0,0.00π,1.0,35000.0,20,20,0.9994658842507921
alpha_1.25pi_Pt_1.0000_20x20_mesh_1.0E+03_states_SIM_02_05_2026_22_30_36.csv,1.25,1.25π,1.0,1000.0,20,20,0.9870054892935614
alpha_1.25pi_Pt_1.0000_20x20_mesh_4.5E+04_states_SIM_02_05_2026_22_30_25.csv,1.25,1.25π,1.0,45000.0,20,20,0.9996176675917594
alpha_1.25pi_Pt_1.0000_20x20_mesh_1.0E+04_states_SIM_02_05_2026_22_30_33.csv,1.25,1.25π,1.0,10000.0,20,20,0.9985124367381095
alpha_0.00pi_Pt_1.0000_20x20_mesh_1.0E+04_states_SIM_02_05_2026_22_29_32.csv,0.0,0.00π,1.0,10000.0,20,20,0.997810902585536
alpha_0.50pi_Pt_1.0000_20x20_mesh_4.5E+04_states_SIM_02_05_2026_22_29_48.csv,0.5,0.50π,1.0,45000.0,20,20,0.9998021169606198
alpha_0.00pi_Pt_1.0000_20x20_mesh_5.0E+03_states_SIM_02_05_2026_22_29_33.csv,0.0,0.00π,1.0,5000.0,20,20,0.9962747587038481
alpha_0.75pi_Pt_1.0000_20x20_mesh_1.0E+03_states_SIM_02_05_2026_22_30_11.csv,0.75,0.75π,1.0,1000.0,20,20,0.9860893751801478
alpha_1.00pi_Pt_1.0000_20x20_mesh_3.0E+04_states_SIM_02_05_2026_22_30_16.csv,1.0,1.00π,1.0,30000.0,20,20,0.9992598368688352
alpha_0.75pi_Pt_1.0000_20x20_mesh_1.0E+04_states_SIM_02_05_2026_22_30_09.csv,0.75,0.75π,1.0,10000.0,20,20,0.9985096253152076
alpha_1.25pi_Pt_1.0000_20x20_mesh_3.0E+04_states_SIM_02_05_2026_22_30_28.csv,1.25,1.25π,1.0,30000.0,20,20,0.999563688893188
alpha_1.25pi_Pt_1.0000_20x20_mesh_2.0E+04_states_SIM_02_05_2026_22_30_31.csv,1.25,1.25π,1.0,20000.0,20,20,0.9992754383856585
alpha_0.75pi_Pt_1.0000_20x20_mesh_5.0E+03_states_SIM_02_05_2026_22_30_10.csv,0.75,0.75π,1.0,5000.0,20,20,0.9974282707686006
alpha_0.75pi_Pt_1.0000_20x20_mesh_1.5E+04_states_SIM_02_05_2026_22_30_08.csv,0.75,0.75π,1.0,15000.0,20,20,0.9991030846853105
alpha_0.25pi_Pt_1.0000_20x20_mesh_3.0E+04_states_SIM_02_05_2026_22_29_39.csv,0.25,0.25π,1.0,30000.0,20,20,0.999400978083932
alpha_0.75pi_Pt_1.0000_20x20_mesh_4.5E+04_states_SIM_02_05_2026_22_30_00.csv,0.75,0.75π,1.0,45000.0,20,20,0.9996639130111716
alpha_1.25pi_Pt_1.0000_20x20_mesh_2.5E+04_states_SIM_02_05_2026_22_30_30.csv,1.25,1.25π,1.0,25000.0,20,20,0.999393341239948
alpha_0.25pi_Pt_1.0000_20x20_mesh_4.0E+04_states_SIM_02_05_2026_22_29_37.csv,0.25,0.25π,1.0,40000.0,20,20,0.999689141080229
alpha_0.25pi_Pt_1.0000_20x20_mesh_1.5E+04_states_SIM_02_05_2026_22_29_43.csv,0.25,0.25π,1.0,15000.0,20,20,0.9991054277055544
alpha_0.25pi_Pt_1.0000_20x20_mesh_3.5E+04_states_SIM_02_05_2026_22_29_38.csv,0.25,0.25π,1.0,35000.0,20,20,0.9995913809794232
alpha_0.50pi_Pt_1.0000_20x20_mesh_3.5E+04_states_SIM_02_05_2026_22_29_50.csv,0.5,0.50π,1.0,35000.0,20,20,0.9998199377626138
alpha_1.25pi_Pt_1.0000_20x20_mesh_3.5E+04_states_SIM_02_05_2026_22_30_27.csv,1.25,1.25π,1.0,35000.0,20,20,0.9995743108730564
alpha_1.25pi_Pt_1.0000_20x20_mesh_5.0E+03_states_SIM_02_05_2026_22_30_35.csv,1.25,1.25π,1.0,5000.0,20,20,0.9971864145964794
alpha_1.00pi_Pt_1.0000_20x20_mesh_2.0E+04_states_SIM_02_05_2026_22_30_19.csv,1.0,1.00π,1.0,20000.0,20,20,0.9991848574270438
alpha_0.50pi_Pt_1.0000_20x20_mesh_1.5E+04_states_SIM_02_05_2026_22_29_55.csv,0.5,0.50π,1.0,15000.0,20,20,0.9995151076674891
alpha_0.75pi_Pt_1.0000_20x20_mesh_2.0E+04_states_SIM_02_05_2026_22_30_06.csv,0.75,0.75π,1.0,20000.0,20,20,0.9991213504175755
alpha_1.00pi_Pt_1.0000_20x20_mesh_1.5E+04_states_SIM_02_05_2026_22_30_20.csv,1.0,1.00π,1.0,15000.0,20,20,0.9985129091438755
alpha_0.75pi_Pt_1.0000_20x20_mesh_3.0E+04_states_SIM_02_05_2026_22_30_04.csv,0.75,0.75π,1.0,30000.0,20,20,0.9995757496027983
alpha_1.00pi_Pt_1.0000_20x20_mesh_1.0E+04_states_SIM_02_05_2026_22_30_21.csv,1.0,1.00π,1.0,10000.0,20,20,0.9980832364277273
alpha_0.25pi_Pt_1.0000_20x20_mesh_4.5E+04_states_SIM_02_05_2026_22_29_35.csv,0.25,0.25π,1.0,45000.0,20,20,0.9997347589624834
alpha_0.00pi_Pt_1.0000_20x20_mesh_1.5E+04_states_SIM_02_05_2026_22_29_31.csv,0.0,0.00π,1.0,15000.0,20,20,0.9987718014080069
alpha_0.25pi_Pt_1.0000_20x20_mesh_1.0E+03_states_SIM_02_05_2026_22_29_47.csv,0.25,0.25π,1.0,1000.0,20,20,0.9863744446371813
alpha_0.50pi_Pt_1.0000_20x20_mesh_2.5E+04_states_SIM_02_05_2026_22_29_53.csv,0.5,0.50π,1.0,25000.0,20,20,0.999741816180902
alpha_1.00pi_Pt_1.0000_20x20_mesh_5.0E+03_states_SIM_02_05_2026_22_30_22.csv,1.0,1.00π,1.0,5000.0,20,20,0.9966966818503349
alpha_0.25pi_Pt_1.0000_20x20_mesh_2.5E+04_states_SIM_02_05_2026_22_29_40.csv,0.25,0.25π,1.0,25000.0,20,20,0.9993052917581372
alpha_0.50pi_Pt_1.0000_20x20_mesh_1.0E+03_states_SIM_02_05_2026_22_29_59.csv,0.5,0.50π,1.0,1000.0,20,20,0.9922449770606556
